推薦年度,適讀年齡,經典好書,書名,作者,繪者,譯者,出版社,出版日期(西元),出版日期(民國),本土/翻譯,屬性分類,ISBN,定價
110/111/112,3~5歲,是,好忙的除夕,翁藝珊,翁藝珊,,信誼基金,2019-01-01,108.01,本土,認知探索、社會情緒,9789861615929,280
108,3~5歲,,我好無聊喔！,車載赫,崔恩英,陳思瑋,,2019-01-01,108-01,翻譯,,9789579125307,300
108/110,3~5歲,,尿尿太郎,吉竹伸介,吉竹伸介,許婷婷,,2019-01-01,108-01,翻譯,認知探索,9789576580970,250
108/113,3~5歲,,在爺爺背後,內弗‧席夫,沙哈‧柯伯,黃筱茵,青林國際,2019-01-01,108-01,翻譯,社會情緒、語言溝通、認知探索,9789862744222,280
113,0~3歲,,啊，怪獸！（新版）,周思芸,劉瑞琪,,遠見天下文化(小天下),2019-01-01,108-01,本土,身體動作、社會情緒、語言溝通,9789864798155,300
110,3~5歲,,小小挖土機,安娜‧杜德尼,安娜‧杜德尼,黃筱茵,,2018-12-01,107-12,翻譯,"身體動作,社會情緒,認知探索",9789863382287,
112,3~5歲,,小狐狸回家,茱莉‧湯普森,賈斯汀‧湯普森,游珮芸,米奇巴克,2018-11-01,10711,翻譯,,9789866215797,300
111,3~5歲,,有時爸爸家，有時媽媽家,芭絲卡．芙翁古特,芭絲卡．芙翁古特,吳宣恩,大穎文化,2018-11-01,107.11,翻譯,社會情緒,9789579125239,290
111,3~5歲,,遊戲場發生什麼事？,超級可愛月亮班,超級可愛月亮班,,遠流出版,2018-11-01,107.11,本土,,9789573284062,320
108/109/112,3~5歲,是,白貓黑貓,菊地知己,菊地知己,米雅/,拾光工作室,2018-11-01,107-11,翻譯,社會情緒,9789869685108,350
112,3~5歲,,風之星,新宮晉,新宮晉,林真美,維京國際,2018-10-01,10710,翻譯,,9789864402540,320
111,3~5歲,,失物招領所,澀谷純子,澀谷純子,張詩宜,布克文化,2018-10-01,107.10,翻譯,認知探索,9789869551618,300
111,0~3歲,,這是我的位子！,羅恩敬,羅恩敬,賴毓棻,布克文化,2018-10-01,107.10,翻譯,社會情緒、語言溝通,9789579699297,300
108/109,3~5歲,,當小偷的第一天,劉旭恭,劉旭恭,,巴巴文化,2018-10-01,107-10,本土,認知探索,9789869629300,350
108/109,3~5歲,,我和怕怕,法蘭切絲卡．桑娜,法蘭切絲卡．桑娜,黃筱茵,讀書共和國(字畝文化),2018-10-01,107-10,翻譯,"社會情緒,語言溝通,認知探索",9789869674454,350
111,0~3歲,,電車來囉！,三浦太郎,三浦太郎,鄭明進,小魯文化,2018-09-01,107.09,翻譯,認知探索、生活自理、語言溝通,9789862118474,290
109,3~5歲,,活了一百萬次的貓,佐野洋子,佐野洋子,林真美,步步出版,2018-09-01,107-09,翻譯,社會情緒,9789869677813,320
108/111/112,0~3歲,是,今天真好,理查德‧傑克遜,蘇西‧李,黃又青,阿布拉教育文化,2018-09-01,107.09,翻譯,身體動作、語言溝通、美感,9789865876517,280
112,3~5歲,,我和我的冠軍甲蟲,信實,信實,蘇懿禎,小熊出版,2018-08-01,10708,翻譯,,9789578640320,300
111,3~5歲,,屁屁工廠,茂利勝彦,茂利勝彦,邱瓊慧,東方出版,2018-08-01,107.08,翻譯,認知探索、健康與安全,9789863382164,280
110/111,0~3歲,,咚咚咚，下一個是誰？,矢野朱美,矢野朱美,蘇懿禎,小熊出版,2018-08-01,107.08,翻譯,認知探索,9789578640344,300
108/109,3~5歲,,森林裡的小狐狸,史蒂芬妮‧葛雷琴,史蒂芬妮‧葛雷琴,,水滴文化,2018-07-01,107-07,翻譯,社會情緒,9789869634069,360
109,3~5歲,,一起去動物園,林柏廷,林柏廷,,,2018-07-01,107-07,翻譯,社會情緒,9789573283188,280
112,3~5歲,,71隻小羊踢足球,巴布羅‧艾爾伯,谷瑞迪,陳伊莎,采實文化,2018-06-01,10706,翻譯,,9789578950368,320
108/109,3~5歲,,可莉米的白色畫布,李賢珠,李賢珠,賴毓棻,,2018-06-01,107-06,翻譯,"認知探索,美感",9789579699129,300
